Feature,Group,Count,Mean,Median,Std,Min,Max,P5,P95
H1_roll_std_1m,train_normal,845484,0.29549742614285907,0.020963475,1.062174627707444,0.0,5.6142282,0.0010327963,3.434565899999999
H1_roll_std_1m,train_positive,331,0.0656949947603146,3.687967e-06,0.4755146130256011,3.8862137e-07,4.427067,3.8862137e-07,0.0279629765
H1_roll_std_1m,val_positive,182,0.36860639574285714,0.0236415715,1.1711661268022044,0.0008165041,5.537924,0.0010328018,4.14612483
H1_roll_std_1m,test_positive,181,0.7719048669562872,0.0016329973,1.6334006555424028,3.668139e-06,5.4868655,0.0008165049,4.5416765
H1_roll_std_5m,train_normal,845484,1.1199816551365378,0.11736105299999999,1.7640740335124545,0.0,5.1656756,0.0012298966,4.744238955
H1_roll_std_5m,train_positive,331,0.3271859963724466,0.0006102579,0.9665115459468376,6.4353463e-07,4.1440997,6.4353463e-07,3.41204895
H1_roll_std_5m,val_positive,182,1.532575956682418,0.159291665,1.8864051702384372,0.001142693,4.999977,0.0013034809849999998,4.7392188299999995
H1_roll_std_5m,test_positive,181,3.102213164168508,4.160986,1.8679089842347196,0.0010416622,4.723371,0.0012298969,4.6781683
H1_diff_5m,train_normal,845484,0.00038371423112950855,-0.3079996,3.798395700320207,-10.278,10.2960005,-8.358,9.62
H1_diff_5m,train_positive,331,-0.8624229781018128,0.0,2.3372744158011027,-8.44,0.014,-8.214,0.0
H1_diff_5m,val_positive,182,-1.3758461823543955,-0.4289999,4.756896061266989,-9.012,9.742,-8.885299999999999,9.5814
H1_diff_5m,test_positive,181,0.09012154418176796,0.0,6.831128585005255,-10.174,10.174,-9.706,9.702
DV_pressure_roll_mean_5m,train_normal,845484,0.04121732710165948,-0.021266667,0.3041040289347629,-0.031,2.4914,-0.0252,0.15206666
DV_pressure_roll_mean_5m,train_positive,331,0.4281983885619335,-0.020733332,0.800458714689938,-0.024,2.117,-0.024,1.9998999999999998
DV_pressure_roll_mean_5m,val_positive,182,0.5424597078681319,-0.0196,0.9081754726391934,-0.020399999,2.3024,-0.020333333,2.28644327
DV_pressure_roll_mean_5m,test_positive,181,-0.010079926165745856,-0.0101333335,0.00034562376745678175,-0.0106,-0.0090666665,-0.010533333,-0.0094
TP3_roll_std_1m,train_normal,845484,0.04930425595374854,0.0224501,0.0902012663678894,0.0,4.7348,0.008824131,0.2691451524999999
TP3_roll_std_1m,train_positive,331,0.014086555140786255,0.009832126,0.02890754666896709,7.3568725e-07,0.27191395,7.3568725e-07,0.028336035
TP3_roll_std_1m,val_positive,182,0.0680583176565934,0.027500218,0.09023183801333695,0.011638914,0.40785366,0.017663748950000002,0.3129754469999998
TP3_roll_std_1m,test_positive,181,0.13600912858011052,0.119456485,0.06589451420048935,0.03680045,0.28166535,0.048228547,0.25021496
Reservoirs_roll_mean_1m,train_normal,845484,8.987584048452721,8.972333,0.6201774286782535,0.907,10.254,8.157333,9.948
Reservoirs_roll_mean_1m,train_positive,331,8.447779457703929,8.248,0.2694681827176465,8.077,9.315333,8.243833500000001,9.065666499999999
Reservoirs_roll_mean_1m,val_positive,182,9.050670414835166,9.023,0.48338738109285884,8.094,10.066667,8.243483650000002,9.90556695
Reservoirs_roll_mean_1m,test_positive,181,9.279567151933701,9.359,0.6176105701996661,8.111,10.166666,8.229667,10.121333
DV_pressure_diff_5m,train_normal,845484,-6.633833058591299e-05,0.0,0.19604780750626377,-9.8619995,9.208,-0.0020000003,0.0020000003
DV_pressure_diff_5m,train_positive,331,0.17896072379848946,0.0,0.6319560288201053,-1.036,2.346,-0.036000013,2.152
DV_pressure_diff_5m,val_positive,182,0.3638021950461538,0.0,0.883803470290524,-1.1120001,2.776,-0.042000055,2.435899905
DV_pressure_diff_5m,test_positive,181,0.00018784527237569062,0.0,0.0013738143645858083,-0.0039999997,0.0039999997,-0.0020000003,0.0020000003
DV_pressure,train_normal,845484,0.04118554342837948,-0.022,0.33090358035437584,-0.032,9.844,-0.026,-0.01
DV_pressure,train_positive,331,0.5144108761329306,-0.022,0.9032269107643105,-0.024,2.324,-0.024,2.136
DV_pressure,val_positive,182,0.7140659340659341,-0.02,1.0694579483761886,-0.024,2.754,-0.022,2.4179
DV_pressure,test_positive,181,-0.009988950276243093,-0.01,0.0010405531374137948,-0.012,-0.008,-0.012,-0.008
Motor_current_roll_std_5m,train_normal,845484,0.7531520278602543,0.047284669,0.9570284649285735,0.0,3.168923,0.00045643575,2.742846845
Motor_current_roll_std_5m,train_positive,331,0.3564225347211916,3.1182017e-07,0.7675605192673074,2.5278948e-07,2.9014156,2.5278948e-07,2.39118545
Motor_current_roll_std_5m,val_positive,182,1.0907497980482137,0.927908975,1.055207106632428,4.597883e-07,2.981987,0.00063427084,2.8764022349999996
Motor_current_roll_std_5m,test_positive,181,0.8070133602375691,1.0307548,0.41222908160368493,0.0851807,1.2522439,0.09132334,1.2239283
TP3,train_normal,845484,8.986946345525167,8.972,0.627972309986267,0.73,10.302,8.136,9.958
TP3,train_positive,331,8.442157099697885,8.248,0.2605572452239973,8.046,9.276,8.239,9.029
TP3,val_positive,182,9.05567032967033,9.024000000000001,0.48725057422921986,7.976,10.144,8.1983,9.9151
TP3,test_positive,181,9.276486187845304,9.37,0.6310071105511652,7.962,10.252,8.19,10.148
TP3_roll_mean_1m,train_normal,845484,8.986952795843031,8.971666,0.6209198473181426,0.92333335,10.252,8.155666,9.949667
TP3_roll_mean_1m,train_positive,331,8.447745182779457,8.248,0.26941392140121795,8.075666,9.314333,8.243500000000001,9.065999999999999
TP3_roll_mean_1m,val_positive,182,9.05092856868132,9.023833499999999,0.48387759202675634,8.091333,10.067333,8.2434327,9.907550299999999
TP3_roll_mean_1m,test_positive,181,9.28043647513812,9.358334,0.6187009387597865,8.109333,10.167,8.228333,10.125
Motor_current_roll_std_1m,train_normal,845484,0.19450663715635794,0.0013693072,0.5585055705336905,0.0,3.9445949,3.0598503e-07,1.5499841749999983
Motor_current_roll_std_1m,train_positive,331,0.08719391294210202,4.7079612e-07,0.33740543355272606,4.1251445e-07,3.0379987,4.1251445e-07,0.21657228
Motor_current_roll_std_1m,val_positive,182,0.29423511024981924,0.07357005,0.654810299718583,9.624173e-07,3.065548,9.624173e-07,1.9984710249999993
Motor_current_roll_std_1m,test_positive,181,0.2519646570552487,0.080218524,0.3619509450284752,0.01826315,1.3660567,0.032926656,1.0496147
Reservoirs_roll_std_5m,train_normal,845484,0.20676606651615223,0.115144363,0.23407841907598412,0.0,4.230724,0.014717433550000002,0.783309454
Reservoirs_roll_std_5m,train_positive,331,0.054779183872368395,0.010985667,0.07103389201098938,8.7100506e-07,0.2447398,8.7100506e-07,0.20417103
Reservoirs_roll_std_5m,val_positive,182,0.2617302983626374,0.16269981500000003,0.20181785793950033,0.103011705,0.84032375,0.108660346,0.7727821985
Reservoirs_roll_std_5m,test_positive,181,0.47107364154696124,0.44487002,0.16775062429642126,0.23844916,0.7926218,0.25214696,0.77520084
DV_pressure_roll_mean_1m,train_normal,845484,0.041190726781338206,-0.021666666,0.30963622713825234,-0.031666666,4.113,-0.025333334,0.20899999
DV_pressure_roll_mean_1m,train_positive,331,0.499916415691843,-0.021,0.8779775512400692,-0.024,2.2156668,-0.024,2.0805
DV_pressure_roll_mean_1m,val_positive,182,0.6854450513296704,-0.019666666,1.035634202558086,-0.021333333,2.3393333,-0.021,2.305983335
DV_pressure_roll_mean_1m,test_positive,181,-0.01000736629281768,-0.01,0.0005997296540331263,-0.011333333,-0.008,-0.011,-0.009
Reservoirs_diff_5m,train_normal,845484,-5.6034111925476265e-05,-0.2840004,0.774768860518608,-8.962,6.21,-0.71000004,1.7200003
Reservoirs_diff_5m,train_positive,331,-0.08568580172145016,0.0,0.23543200906312312,-0.47200012,0.5120001,-0.45399952,0.332999705
Reservoirs_diff_5m,val_positive,182,0.04546155183516486,-0.39299965000000003,0.7676797552691689,-1.0180001,1.8099995,-0.633399797,1.68789971
Reservoirs_diff_5m,test_positive,181,-0.07930385611602209,-0.038000107,1.133657983743289,-1.9499998,1.9800005,-1.7459993,1.54
