feature,importance
H1_roll_std_1m,0.3493599
H1_roll_std_5m,0.13412133
H1_diff_5m,0.08085655
DV_pressure_roll_mean_5m,0.041786455
TP3_roll_std_1m,0.03986817
Reservoirs_roll_mean_1m,0.035832632
DV_pressure_diff_5m,0.03207413
DV_pressure,0.028172402
Motor_current_roll_std_5m,0.024189765
TP3,0.023193847
TP3_roll_mean_1m,0.018501896
Motor_current_roll_std_1m,0.015923174
Reservoirs_roll_std_5m,0.01588349
DV_pressure_roll_mean_1m,0.015595956
Reservoirs_diff_5m,0.015164693
Reservoirs,0.01397881
TP3_roll_std_5m,0.012790581
Oil_temperature,0.011510214
TP3_diff_5m,0.009507287
Oil_temperature_roll_mean_5m,0.00908745
TP2,0.0076880394
Oil_temperature_roll_mean_1m,0.007489059
Motor_current_roll_mean_1m,0.0060753967
H1_diff_1m,0.0053965445
Reservoirs_roll_std_1m,0.005110789
DV_pressure_roll_std_5m,0.004584552
Motor_current,0.0036891752
TP2_roll_std_5m,0.0028802643
TP3_roll_mean_5m,0.0027196198
H1,0.0027163262
Reservoirs_roll_mean_5m,0.0026716772
TP2_roll_mean_5m,0.0025430864
TP3_diff_1m,0.0016423758
Reservoirs_diff_1m,0.0016067693
Motor_current_roll_mean_5m,0.001557535
H1_roll_mean_1m,0.0014442764
MPG_changes_5m,0.0013103809
Oil_temperature_roll_std_5m,0.0011320702
Towers_changes_5m,0.0011118508
Oil_temperature_roll_std_1m,0.0011053383
Motor_current_diff_5m,0.0010851438
Oil_temperature_diff_5m,0.0010849485
TP2_diff_5m,0.0009893045
DV_pressure_roll_std_1m,0.00083830394
COMP_changes_5m,0.00080421986
Pressure_switch_changes_5m,0.0005679436
TP2_roll_std_1m,0.00056598877
Oil_temperature_diff_1m,0.00052427064
TP2_diff_1m,0.00051051576
H1_roll_mean_5m,0.00034115688
TP2_roll_mean_1m,0.00017379597
Motor_current_diff_1m,0.00014730866
DV_pressure_diff_1m,0.00011526784
Towers,0.000114656425
Caudal_impulses,9.407954e-05
Pressure_switch,7.9205114e-05
COMP,6.823652e-05
MPG,2.1739255e-05
DV_eletric_changes_5m,0.0
DV_eletric,0.0
LPS_changes_5m,0.0
LPS,0.0
Oil_level,0.0
Oil_level_changes_5m,0.0
Caudal_impulses_changes_5m,0.0
